Date,Manok,Baboy,Baka,Telapia,Bangus,Galunggong,Tamban,Tinapa,Repolyo,Kamote,Kalabasa,Patatas,Niyog,Saging,Sugar,Milled,Sibuyas,Kamatis,Bawang,Itlog,Mantika,Ampalaya,Talong,Manga,Pinya,Calamansi,Rainfall,Holiday,Demand Index
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-25,176,345,176,345,176,345,176,345,79,40,44,176,345,176,345,345,79,40,44,176,345,176,345,40,44,176,5,0,50
02-Aug-25,178,346,178,346,178,346,178,346,80,41,45,178,346,178,346,346,80,41,45,178,346,178,346,41,45,178,10,0,52
03-Aug-25,180,347,180,347,180,347,180,347,81,41,46,180,347,180,347,347,81,41,46,180,347,180,347,41,46,180,0,0,53
04-Aug-25,181,349,181,349,181,349,181,349,82,42,46,181,349,181,349,349,82,42,46,181,349,181,349,42,46,181,3,0,54
05-Aug-25,182,350,182,350,182,350,182,350,80,41,45,182,350,182,350,350,80,41,45,182,350,182,350,41,45,182,7,0,56
06-Aug-25,180,352,180,352,180,352,180,352,79,40,44,180,352,180,352,352,79,40,44,180,352,180,352,40,44,180,12,0,55
07-Aug-25,179,353,179,353,179,353,179,353,78,39,43,179,353,179,353,353,78,39,43,179,353,179,353,39,43,179,15,0,57
08-Aug-25,181,355,181,355,181,355,181,355,77,38,44,181,355,181,355,355,77,38,44,181,355,181,355,38,44,181,20,0,58
09-Aug-25,183,356,183,356,183,356,183,356,78,39,45,183,356,183,356,356,78,39,45,183,356,183,356,39,45,183,2,1,80
10-Aug-25,184,354,184,354,184,354,184,354,79,40,45,184,354,184,354,354,79,40,45,184,354,184,354,40,45,184,0,1,85
11-Aug-25,176,345,176,345,176,345,176,345,79,40,44,176,345,176,345,345,79,40,44,176,345,176,345,40,44,176,5,0,50
12-Aug-25,178,346,178,346,178,346,178,346,80,41,45,178,346,178,346,346,80,41,45,178,346,178,346,41,45,178,10,0,52
13-Aug-25,180,347,180,347,180,347,180,347,81,41,46,180,347,180,347,347,81,41,46,180,347,180,347,41,46,180,0,0,53
14-Aug-25,181,349,181,349,181,349,181,349,82,42,46,181,349,181,349,349,82,42,46,181,349,181,349,42,46,181,3,0,54
15-Aug-25,182,350,182,350,182,350,182,350,80,41,45,182,350,182,350,350,80,41,45,182,350,182,350,41,45,182,7,0,56
16-Aug-25,180,352,180,352,180,352,180,352,79,40,44,180,352,180,352,352,79,40,44,180,352,180,352,40,44,180,12,0,55
17-Aug-25,179,353,179,353,179,353,179,353,78,39,43,179,353,179,353,353,78,39,43,179,353,179,353,39,43,179,15,0,57
18-Aug-25,200,300,200,300,200,300,200,300,79,40,44,200,300,200,300,300,79,40,44,200,300,200,300,40,44,200,5,0,50
19-Aug-25,150,320,150,320,150,320,150,320,80,41,45,150,320,150,320,320,80,41,45,150,320,150,320,41,45,150,10,0,52
20-Aug-25,145,310,145,310,145,310,145,310,81,41,46,145,310,145,310,310,81,41,46,145,310,145,310,41,46,145,0,0,53
21-Aug-25,185,290,185,290,185,290,185,290,82,42,46,185,290,185,290,290,82,42,46,185,290,185,290,42,46,185,3,0,54
